Region;Week;Visits;shop_id
East;2024-03-10 To 2024-03-16;107421;26227
East;2024-03-17 To 2024-03-23;106012;26227
East;2024-03-24 To 2024-03-30;120823;26227
East;2024-03-31 To 2024-04-06;114462;26227
East;2024-04-07 To 2024-04-13;107531;26227
East;2024-04-14 To 2024-04-20;92302;26227
East;2024-04-21 To 2024-04-27;74639;26227
East;2024-04-28 To 2024-05-04;79827;26227
East;2024-05-05 To 2024-05-11;94280;26227
East;2024-05-12 To 2024-05-18;99322;26227
East;2024-05-19 To 2024-05-25;100947;26227
East;2024-05-26 To 2024-06-01;88571;26227
East;2024-06-02 To 2024-06-08;92728;26227
East;2024-06-09 To 2024-06-15;93703;26227
East;2024-06-16 To 2024-06-22;104413;26227
East;2024-06-23 To 2024-06-29;112653;26227
East;2024-06-30 To 2024-07-06;111499;26227
East;2024-07-07 To 2024-07-13;114420;26227
East;2024-07-14 To 2024-07-20;108308;26227
East;2024-07-21 To 2024-07-27;105432;26227
East;2024-07-28 To 2024-08-03;113674;26227
East;2024-08-04 To 2024-08-10;113045;26227
East;2024-08-11 To 2024-08-17;113419;26227
East;2024-08-18 To 2024-08-24;126216;26227
East;2024-08-25 To 2024-08-31;124302;26227
East;2024-09-01 To 2024-09-07;127556;26227
East;2024-09-08 To 2024-09-14;125845;26227
East;2024-09-15 To 2024-09-21;124532;26227
East;2024-09-22 To 2024-09-28;108755;26227
East;2024-09-29 To 2024-10-05;107565;26227
East;2024-10-06 To 2024-10-12;102421;26227
East;2024-10-13 To 2024-10-19;103682;26227
East;2024-10-20 To 2024-10-26;109064;26227
East;2024-10-27 To 2024-11-02;104913;26227
East;2024-11-03 To 2024-11-09;116828;26227
East;2024-11-10 To 2024-11-16;117083;26227
East;2024-11-17 To 2024-11-23;105310;26227
East;2024-11-24 To 2024-11-30;95804;26227
East;2024-12-01 To 2024-12-07;97994;26227
East;2024-12-08 To 2024-12-14;111331;26227
East;2024-12-15 To 2024-12-21;107524;26227
East;2024-12-22 To 2024-12-28;117935;26227
East;2024-12-29 To 2025-01-04;112233;26227
East;2023-10-01 To 2023-10-07;90265;26254
East;2023-10-08 To 2023-10-14;92237;26254
East;2023-10-15 To 2023-10-21;82325;26254
East;2023-10-22 To 2023-10-28;85159;26254
East;2023-10-29 To 2023-11-04;114616;26254
East;2023-11-05 To 2023-11-11;114181;26254
East;2023-11-12 To 2023-11-18;112304;26254
East;2023-11-19 To 2023-11-25;108031;26254
East;2023-11-26 To 2023-12-02;114739;26254
East;2023-12-03 To 2023-12-09;113438;26254
East;2023-12-10 To 2023-12-16;121652;26254
East;2023-12-17 To 2023-12-23;108401;26254
East;2023-12-24 To 2023-12-30;101013;26254
East;2023-12-31 To 2024-01-06;111860;26254
East;2024-01-07 To 2024-01-13;109302;26254
East;2024-01-14 To 2024-01-20;116477;26254
East;2024-01-21 To 2024-01-27;109597;26254
East;2024-01-28 To 2024-02-03;118428;26254
East;2024-02-04 To 2024-02-10;111277;26254
East;2024-02-11 To 2024-02-17;110860;26254
East;2024-02-18 To 2024-02-24;103238;26254
East;2024-02-25 To 2024-03-02;111414;26254
East;2024-03-03 To 2024-03-09;97055;26254
East;2024-03-10 To 2024-03-16;105984;26254
East;2024-03-17 To 2024-03-23;102901;26254
East;2024-03-24 To 2024-03-30;110397;26254
East;2024-03-31 To 2024-04-06;109807;26254
East;2024-04-07 To 2024-04-13;107030;26254
East;2024-04-14 To 2024-04-20;113515;26254
East;2024-04-21 To 2024-04-27;101667;26254
East;2024-04-28 To 2024-05-04;103102;26254
East;2024-05-05 To 2024-05-11;118186;26254
East;2024-05-12 To 2024-05-18;125352;26254
East;2024-05-19 To 2024-05-25;127251;26254
East;2024-05-26 To 2024-06-01;129196;26254
East;2024-06-02 To 2024-06-08;131752;26254
East;2024-06-09 To 2024-06-15;125181;26254
East;2024-06-16 To 2024-06-22;133279;26254
East;2024-06-23 To 2024-06-29;127252;26254
East;2024-06-30 To 2024-07-06;121953;26254
East;2024-07-07 To 2024-07-13;130292;26254
East;2024-07-14 To 2024-07-20;123526;26254
East;2024-07-21 To 2024-07-27;117445;26254
East;2024-07-28 To 2024-08-03;119610;26254
East;2024-08-04 To 2024-08-10;121057;26254
East;2024-08-11 To 2024-08-17;108476;26254
East;2024-08-18 To 2024-08-24;141057;26254
East;2024-08-25 To 2024-08-31;134918;26254
East;2024-09-01 To 2024-09-07;130344;26254
East;2024-09-08 To 2024-09-14;130929;26254
East;2024-09-15 To 2024-09-21;131284;26254
East;2024-09-22 To 2024-09-28;125788;26254
East;2024-09-29 To 2024-10-05;125007;26254
East;2024-10-06 To 2024-10-12;131769;26254
East;2024-10-13 To 2024-10-19;135910;26254
East;2024-10-20 To 2024-10-26;150926;26254
East;2024-10-27 To 2024-11-02;133137;26254
East;2024-11-03 To 2024-11-09;146929;26254
East;2024-11-10 To 2024-11-16;142487;26254
East;2024-11-17 To 2024-11-23;145994;26254
East;2024-11-24 To 2024-11-30;140508;26254
East;2024-12-01 To 2024-12-07;144375;26254
East;2024-12-08 To 2024-12-14;145686;26254
East;2024-12-15 To 2024-12-21;143252;26254
East;2024-12-22 To 2024-12-28;125891;26254
East;2024-12-29 To 2025-01-04;136499;26254
East;2023-10-01 To 2023-10-07;60055;26391
East;2023-10-08 To 2023-10-14;80972;26391
East;2023-10-15 To 2023-10-21;72261;26391
East;2023-10-22 To 2023-10-28;63545;26391
East;2023-10-29 To 2023-11-04;58071;26391
East;2023-11-05 To 2023-11-11;46682;26391
East;2023-11-12 To 2023-11-18;48975;26391
East;2023-11-19 To 2023-11-25;56479;26391
East;2023-11-26 To 2023-12-02;56645;26391
East;2023-12-03 To 2023-12-09;52937;26391
East;2023-12-10 To 2023-12-16;61323;26391
East;2023-12-17 To 2023-12-23;50300;26391
East;2023-12-24 To 2023-12-30;57183;26391
East;2023-12-31 To 2024-01-06;58019;26391
East;2024-01-07 To 2024-01-13;60708;26391
East;2024-01-14 To 2024-01-20;57902;26391
East;2024-01-21 To 2024-01-27;66669;26391
East;2024-01-28 To 2024-02-03;60357;26391
East;2024-02-04 To 2024-02-10;58213;26391
East;2024-02-11 To 2024-02-17;56704;26391
East;2024-02-18 To 2024-02-24;61051;26391
East;2024-02-25 To 2024-03-02;66871;26391
East;2024-03-03 To 2024-03-09;54951;26391
East;2024-03-10 To 2024-03-16;48270;26391
East;2024-03-17 To 2024-03-23;46195;26391
East;2024-03-24 To 2024-03-30;54425;26391
East;2024-03-31 To 2024-04-06;64950;26391
East;2024-04-07 To 2024-04-13;78514;26391
East;2024-04-14 To 2024-04-20;76249;26391
East;2024-04-21 To 2024-04-27;61087;26391
East;2024-04-28 To 2024-05-04;62575;26391
East;2024-05-05 To 2024-05-11;58055;26391
East;2024-05-12 To 2024-05-18;87489;26391
East;2024-05-19 To 2024-05-25;85625;26391
East;2024-05-26 To 2024-06-01;72858;26391
East;2024-06-02 To 2024-06-08;61122;26391
East;2024-06-09 To 2024-06-15;56707;26391
East;2024-06-16 To 2024-06-22;65178;26391
East;2024-06-23 To 2024-06-29;71798;26391
East;2024-06-30 To 2024-07-06;79981;26391
East;2024-07-07 To 2024-07-13;81123;26391
East;2024-07-14 To 2024-07-20;83445;26391
East;2024-07-21 To 2024-07-27;69898;26391
East;2024-07-28 To 2024-08-03;58076;26391
East;2024-08-04 To 2024-08-10;60904;26391
East;2024-08-11 To 2024-08-17;64802;26391
East;2024-08-18 To 2024-08-24;60690;26391
East;2024-08-25 To 2024-08-31;57117;26391
East;2024-09-01 To 2024-09-07;55132;26391
East;2024-09-08 To 2024-09-14;56471;26391
East;2024-09-15 To 2024-09-21;53821;26391
East;2024-09-22 To 2024-09-28;46888;26391
East;2024-09-29 To 2024-10-05;54931;26391
East;2024-10-06 To 2024-10-12;65476;26391
East;2024-10-13 To 2024-10-19;67268;26391
East;2024-10-20 To 2024-10-26;54085;26391
East;2024-10-27 To 2024-11-02;57363;26391
East;2024-11-03 To 2024-11-09;71654;26391
East;2024-11-10 To 2024-11-16;64861;26391
East;2024-11-17 To 2024-11-23;69299;26391
East;2024-11-24 To 2024-11-30;67071;26391
East;2024-12-01 To 2024-12-07;65476;26391
East;2024-12-08 To 2024-12-14;68678;26391
East;2024-12-15 To 2024-12-21;85510;26391
East;2024-12-22 To 2024-12-28;79424;26391
East;2024-12-29 To 2025-01-04;83572;26391
East;2023-10-01 To 2023-10-07;85054;27510
East;2023-10-08 To 2023-10-14;90625;27510
East;2023-10-15 To 2023-10-21;84198;27510
East;2023-10-22 To 2023-10-28;98542;27510
East;2023-10-29 To 2023-11-04;146355;27510
East;2023-11-05 To 2023-11-11;126698;27510
East;2023-11-12 To 2023-11-18;136457;27510
East;2023-11-19 To 2023-11-25;131236;27510
East;2023-11-26 To 2023-12-02;132017;27510
East;2023-12-03 To 2023-12-09;108834;27510
East;2023-12-10 To 2023-12-16;117348;27510
East;2023-12-17 To 2023-12-23;119117;27510
East;2023-12-24 To 2023-12-30;114116;27510
East;2023-12-31 To 2024-01-06;105626;27510
East;2024-01-07 To 2024-01-13;103818;27510
East;2024-01-14 To 2024-01-20;109965;27510
East;2024-01-21 To 2024-01-27;104337;27510
East;2024-01-28 To 2024-02-03;107136;27510
East;2024-02-04 To 2024-02-10;116505;27510
East;2024-02-11 To 2024-02-17;114177;27510
East;2024-02-18 To 2024-02-24;105271;27510
East;2024-02-25 To 2024-03-02;101868;27510
East;2024-03-03 To 2024-03-09;102919;27510
East;2024-03-10 To 2024-03-16;117799;27510
East;2024-03-17 To 2024-03-23;113278;27510
East;2024-03-24 To 2024-03-30;111052;27510
East;2024-03-31 To 2024-04-06;114448;27510
East;2024-04-07 To 2024-04-13;110020;27510
East;2024-04-14 To 2024-04-20;103478;27510
East;2024-04-21 To 2024-04-27;89760;27510
East;2024-04-28 To 2024-05-04;87096;27510
East;2024-05-05 To 2024-05-11;94720;27510
East;2024-05-12 To 2024-05-18;104394;27510
East;2024-05-19 To 2024-05-25;115011;27510
East;2024-05-26 To 2024-06-01;121917;27510
East;2024-06-02 To 2024-06-08;119425;27510
East;2024-06-09 To 2024-06-15;117211;27510
East;2024-06-16 To 2024-06-22;117244;27510
East;2024-06-23 To 2024-06-29;116368;27510
East;2024-06-30 To 2024-07-06;114584;27510
East;2024-07-07 To 2024-07-13;115780;27510
East;2024-07-14 To 2024-07-20;111934;27510
East;2024-07-21 To 2024-07-27;112429;27510
East;2024-07-28 To 2024-08-03;106364;27510
East;2024-08-04 To 2024-08-10;100893;27510
East;2024-08-11 To 2024-08-17;110341;27510
East;2024-08-18 To 2024-08-24;106937;27510
East;2024-08-25 To 2024-08-31;109788;27510
East;2024-09-01 To 2024-09-07;108598;27510
East;2024-09-08 To 2024-09-14;105849;27510
East;2024-09-15 To 2024-09-21;107826;27510
East;2024-09-22 To 2024-09-28;111782;27510
East;2024-09-29 To 2024-10-05;101504;27510
East;2024-10-06 To 2024-10-12;103199;27510
East;2024-10-13 To 2024-10-19;116107;27510
East;2024-10-20 To 2024-10-26;101169;27510
East;2024-10-27 To 2024-11-02;102839;27510
East;2024-11-03 To 2024-11-09;103560;27510
East;2024-11-10 To 2024-11-16;113498;27510
East;2024-11-17 To 2024-11-23;112254;27510
East;2024-11-24 To 2024-11-30;106965;27510
East;2024-12-01 To 2024-12-07;116476;27510
East;2024-12-08 To 2024-12-14;116723;27510
East;2024-12-15 To 2024-12-21;107429;27510
East;2024-12-22 To 2024-12-28;115844;27510
East;2024-12-29 To 2025-01-04;119744;27510
East;2023-10-01 To 2023-10-07;19694;27518
East;2023-10-08 To 2023-10-14;25587;27518
East;2023-10-15 To 2023-10-21;19616;27518
East;2023-10-22 To 2023-10-28;17623;27518
East;2023-10-29 To 2023-11-04;26550;27518
East;2023-11-05 To 2023-11-11;30351;27518
East;2023-11-12 To 2023-11-18;29114;27518
East;2023-11-19 To 2023-11-25;26943;27518
East;2023-11-26 To 2023-12-02;26497;27518
East;2023-12-03 To 2023-12-09;24468;27518
East;2023-12-10 To 2023-12-16;24127;27518
East;2023-12-17 To 2023-12-23;22906;27518
East;2023-12-24 To 2023-12-30;20675;27518
East;2023-12-31 To 2024-01-06;20463;27518
East;2024-01-07 To 2024-01-13;20508;27518
East;2024-01-14 To 2024-01-20;20721;27518
East;2024-01-21 To 2024-01-27;21312;27518
East;2024-01-28 To 2024-02-03;20651;27518
East;2024-02-04 To 2024-02-10;22286;27518
East;2024-02-11 To 2024-02-17;21961;27518
East;2024-02-18 To 2024-02-24;20053;27518
East;2024-02-25 To 2024-03-02;21521;27518
East;2024-03-03 To 2024-03-09;26200;27518
East;2024-03-10 To 2024-03-16;25333;27518
East;2024-03-17 To 2024-03-23;23517;27518
East;2024-03-24 To 2024-03-30;24578;27518
East;2024-03-31 To 2024-04-06;25317;27518
East;2024-04-07 To 2024-04-13;25901;27518
East;2024-04-14 To 2024-04-20;27184;27518
East;2024-04-21 To 2024-04-27;29195;27518
East;2024-04-28 To 2024-05-04;25972;27518
East;2024-05-05 To 2024-05-11;29866;27518
East;2024-05-12 To 2024-05-18;33181;27518
East;2024-05-19 To 2024-05-25;29982;27518
East;2024-05-26 To 2024-06-01;26020;27518
East;2024-06-02 To 2024-06-08;26167;27518
East;2024-06-09 To 2024-06-15;24561;27518
East;2024-06-16 To 2024-06-22;25025;27518
East;2024-06-23 To 2024-06-29;22496;27518
East;2024-06-30 To 2024-07-06;24213;27518
East;2024-07-07 To 2024-07-13;25699;27518
East;2024-07-14 To 2024-07-20;25523;27518
East;2024-07-21 To 2024-07-27;25690;27518
East;2024-07-28 To 2024-08-03;23925;27518
East;2024-08-04 To 2024-08-10;24872;27518
East;2024-08-11 To 2024-08-17;22951;27518
East;2024-08-18 To 2024-08-24;28409;27518
East;2024-08-25 To 2024-08-31;27031;27518
East;2024-09-01 To 2024-09-07;29217;27518
East;2024-09-08 To 2024-09-14;26806;27518
East;2024-09-15 To 2024-09-21;29432;27518
East;2024-09-22 To 2024-09-28;27017;27518
East;2024-09-29 To 2024-10-05;26460;27518
East;2024-10-06 To 2024-10-12;23358;27518
East;2024-10-13 To 2024-10-19;28820;27518
East;2024-10-20 To 2024-10-26;24296;27518
East;2024-10-27 To 2024-11-02;27385;27518
East;2024-11-03 To 2024-11-09;25270;27518
East;2024-11-10 To 2024-11-16;27216;27518
East;2024-11-17 To 2024-11-23;26622;27518
East;2024-11-24 To 2024-11-30;24397;27518
East;2024-12-01 To 2024-12-07;27004;27518
East;2024-12-08 To 2024-12-14;25028;27518
East;2024-12-15 To 2024-12-21;24842;27518
East;2024-12-22 To 2024-12-28;20812;27518
East;2024-12-29 To 2025-01-04;22628;27518
North;2023-10-01 To 2023-10-07;54260;22602
North;2023-10-08 To 2023-10-14;63241;22602
North;2023-10-15 To 2023-10-21;46771;22602
North;2023-10-22 To 2023-10-28;43979;22602
North;2023-10-29 To 2023-11-04;41214;22602
North;2023-11-05 To 2023-11-11;35076;22602
North;2023-11-12 To 2023-11-18;37667;22602
North;2023-11-19 To 2023-11-25;39008;22602
North;2023-11-26 To 2023-12-02;36061;22602
North;2023-12-03 To 2023-12-09;41979;22602
North;2023-12-10 To 2023-12-16;43996;22602
North;2023-12-17 To 2023-12-23;34315;22602
North;2023-12-24 To 2023-12-30;48248;22602
North;2023-12-31 To 2024-01-06;53678;22602
North;2024-01-07 To 2024-01-13;51725;22602
North;2024-01-14 To 2024-01-20;56541;22602
North;2024-01-21 To 2024-01-27;54472;22602
North;2024-01-28 To 2024-02-03;46629;22602
North;2024-02-04 To 2024-02-10;39983;22602
North;2024-02-11 To 2024-02-17;42968;22602
North;2024-02-18 To 2024-02-24;34750;22602
North;2024-02-25 To 2024-03-02;44596;22602
North;2024-03-03 To 2024-03-09;43629;22602
North;2024-03-10 To 2024-03-16;42891;22602
North;2024-03-17 To 2024-03-23;42166;22602
North;2024-03-24 To 2024-03-30;54418;22602
North;2024-03-31 To 2024-04-06;58225;22602
North;2024-04-07 To 2024-04-13;56414;22602
North;2024-04-14 To 2024-04-20;48396;22602
North;2024-04-21 To 2024-04-27;39816;22602
North;2024-04-28 To 2024-05-04;39327;22602
North;2024-05-05 To 2024-05-11;44510;22602
North;2024-05-12 To 2024-05-18;54581;22602
North;2024-05-19 To 2024-05-25;54967;22602
North;2024-05-26 To 2024-06-01;37812;22602
North;2024-06-02 To 2024-06-08;46701;22602
North;2024-06-09 To 2024-06-15;46173;22602
North;2024-06-16 To 2024-06-22;48462;22602
North;2024-06-23 To 2024-06-29;59365;22602
North;2024-06-30 To 2024-07-06;55784;22602
North;2024-07-07 To 2024-07-13;59813;22602
North;2024-07-14 To 2024-07-20;57044;22602
North;2024-07-21 To 2024-07-27;47614;22602
North;2024-07-28 To 2024-08-03;34801;22602
North;2024-08-04 To 2024-08-10;39105;22602
North;2024-08-11 To 2024-08-17;41377;22602
North;2024-08-18 To 2024-08-24;50230;22602
North;2024-08-25 To 2024-08-31;57825;22602
North;2024-09-01 To 2024-09-07;47649;22602
North;2024-09-08 To 2024-09-14;50636;22602
North;2024-09-15 To 2024-09-21;47672;22602
North;2024-09-22 To 2024-09-28;47898;22602
North;2024-09-29 To 2024-10-05;40501;22602
North;2024-10-06 To 2024-10-12;47213;22602
North;2024-10-13 To 2024-10-19;47453;22602
North;2024-10-20 To 2024-10-26;43478;22602
North;2024-10-27 To 2024-11-02;39715;22602
North;2024-11-03 To 2024-11-09;50338;22602
North;2024-11-10 To 2024-11-16;53245;22602
North;2024-11-17 To 2024-11-23;55167;22602
North;2024-11-24 To 2024-11-30;50270;22602
North;2024-12-01 To 2024-12-07;49867;22602
North;2024-12-08 To 2024-12-14;52994;22602
North;2024-12-15 To 2024-12-21;55497;22602
North;2024-12-22 To 2024-12-28;57823;22602
North;2024-12-29 To 2025-01-04;49223;22602
North;2023-10-01 To 2023-10-07;61676;22605
North;2023-10-08 To 2023-10-14;78344;22605
North;2023-10-15 To 2023-10-21;62785;22605
North;2023-10-22 To 2023-10-28;60077;22605
North;2023-10-29 To 2023-11-04;65686;22605
North;2023-11-05 To 2023-11-11;62041;22605
North;2023-11-12 To 2023-11-18;55202;22605
North;2023-11-19 To 2023-11-25;49211;22605
North;2023-11-26 To 2023-12-02;59808;22605
North;2023-12-03 To 2023-12-09;60648;22605
North;2023-12-10 To 2023-12-16;68486;22605
North;2023-12-17 To 2023-12-23;40154;22605
North;2023-12-24 To 2023-12-30;45886;22605
North;2023-12-31 To 2024-01-06;47810;22605
North;2024-01-07 To 2024-01-13;47358;22605
North;2024-01-14 To 2024-01-20;47756;22605
North;2024-01-21 To 2024-01-27;51211;22605
North;2024-01-28 To 2024-02-03;50438;22605
North;2024-02-04 To 2024-02-10;50885;22605
North;2024-02-11 To 2024-02-17;45006;22605
North;2024-02-18 To 2024-02-24;48581;22605
North;2024-02-25 To 2024-03-02;55986;22605
North;2024-03-03 To 2024-03-09;46544;22605
North;2024-03-10 To 2024-03-16;48996;22605
North;2024-03-17 To 2024-03-23;48964;22605
North;2024-03-24 To 2024-03-30;59435;22605
North;2024-03-31 To 2024-04-06;61382;22605
North;2024-04-07 To 2024-04-13;72874;22605
North;2024-04-14 To 2024-04-20;68098;22605
North;2024-04-21 To 2024-04-27;58248;22605
North;2024-04-28 To 2024-05-04;64895;22605
North;2024-05-05 To 2024-05-11;66693;22605
North;2024-05-12 To 2024-05-18;88843;22605
North;2024-05-19 To 2024-05-25;80390;22605
North;2024-05-26 To 2024-06-01;66046;22605
North;2024-06-02 To 2024-06-08;69917;22605
North;2024-06-09 To 2024-06-15;63918;22605
North;2024-06-16 To 2024-06-22;63545;22605
North;2024-06-23 To 2024-06-29;63520;22605
North;2024-06-30 To 2024-07-06;65391;22605
North;2024-07-07 To 2024-07-13;73836;22605
North;2024-07-14 To 2024-07-20;84169;22605
North;2024-07-21 To 2024-07-27;53212;22605
North;2024-07-28 To 2024-08-03;51602;22605
North;2024-08-04 To 2024-08-10;59286;22605
North;2024-08-11 To 2024-08-17;51743;22605
North;2024-08-18 To 2024-08-24;56528;22605
North;2024-08-25 To 2024-08-31;55942;22605
North;2024-09-01 To 2024-09-07;52289;22605
North;2024-09-08 To 2024-09-14;54283;22605
North;2024-09-15 To 2024-09-21;55836;22605
North;2024-09-22 To 2024-09-28;48695;22605
North;2024-09-29 To 2024-10-05;47208;22605
North;2024-10-06 To 2024-10-12;53223;22605
North;2024-10-13 To 2024-10-19;54761;22605
North;2024-10-20 To 2024-10-26;54343;22605
North;2024-10-27 To 2024-11-02;56437;22605
North;2024-11-03 To 2024-11-09;65867;22605
North;2024-11-10 To 2024-11-16;66247;22605
North;2024-11-17 To 2024-11-23;64874;22605
North;2024-11-24 To 2024-11-30;60973;22605
North;2024-12-01 To 2024-12-07;65015;22605
North;2024-12-08 To 2024-12-14;66659;22605
North;2024-12-15 To 2024-12-21;83991;22605
North;2024-12-22 To 2024-12-28;65369;22605
North;2024-12-29 To 2025-01-04;64647;22605
North;2023-10-01 To 2023-10-07;42534;26249
North;2023-10-08 To 2023-10-14;52496;26249
North;2023-10-15 To 2023-10-21;42908;26249
North;2023-10-22 To 2023-10-28;34167;26249
North;2023-10-29 To 2023-11-04;25478;26249
North;2023-11-05 To 2023-11-11;35666;26249
North;2023-11-12 To 2023-11-18;29435;26249
North;2023-11-19 To 2023-11-25;29368;26249
North;2023-11-26 To 2023-12-02;31893;26249
North;2023-12-03 To 2023-12-09;34526;26249
North;2023-12-10 To 2023-12-16;44453;26249
North;2023-12-17 To 2023-12-23;50411;26249
North;2023-12-24 To 2023-12-30;34780;26249
North;2023-12-31 To 2024-01-06;34847;26249
North;2024-01-07 To 2024-01-13;29077;26249
North;2024-01-14 To 2024-01-20;51977;26249
North;2024-01-21 To 2024-01-27;35207;26249
North;2024-01-28 To 2024-02-03;41032;26249
North;2024-02-04 To 2024-02-10;36910;26249
North;2024-02-11 To 2024-02-17;48489;26249
North;2024-02-18 To 2024-02-24;42819;26249
North;2024-02-25 To 2024-03-02;41089;26249
North;2024-03-03 To 2024-03-09;48719;26249
North;2024-03-10 To 2024-03-16;49413;26249
North;2024-03-17 To 2024-03-23;38472;26249
North;2024-03-24 To 2024-03-30;59629;26249
North;2024-03-31 To 2024-04-06;46026;26249
North;2024-04-07 To 2024-04-13;31868;26249
North;2024-04-14 To 2024-04-20;46885;26249
North;2024-04-21 To 2024-04-27;40300;26249
North;2024-04-28 To 2024-05-04;25242;26249
North;2024-05-05 To 2024-05-11;29252;26249
North;2024-05-12 To 2024-05-18;23820;26249
North;2024-05-19 To 2024-05-25;26790;26249
North;2024-05-26 To 2024-06-01;34634;26249
North;2024-06-02 To 2024-06-08;48070;26249
North;2024-06-09 To 2024-06-15;39828;26249
North;2024-06-16 To 2024-06-22;38954;26249
North;2024-06-23 To 2024-06-29;50080;26249
North;2024-06-30 To 2024-07-06;36976;26249
North;2024-07-07 To 2024-07-13;45845;26249
North;2024-07-14 To 2024-07-20;36844;26249
North;2024-07-21 To 2024-07-27;39972;26249
North;2024-07-28 To 2024-08-03;30635;26249
North;2024-08-04 To 2024-08-10;33565;26249
North;2024-08-11 To 2024-08-17;45187;26249
North;2024-08-18 To 2024-08-24;47718;26249
North;2024-08-25 To 2024-08-31;47025;26249
North;2024-09-01 To 2024-09-07;50988;26249
North;2024-09-08 To 2024-09-14;47649;26249
North;2024-09-15 To 2024-09-21;49870;26249
North;2024-09-22 To 2024-09-28;49230;26249
North;2024-09-29 To 2024-10-05;33738;26249
North;2024-10-06 To 2024-10-12;31009;26249
North;2024-10-13 To 2024-10-19;36448;26249
North;2024-10-20 To 2024-10-26;25789;26249
North;2024-10-27 To 2024-11-02;25432;26249
North;2024-11-03 To 2024-11-09;30948;26249
North;2024-11-10 To 2024-11-16;37933;26249
North;2024-11-17 To 2024-11-23;34601;26249
North;2024-11-24 To 2024-11-30;45409;26249
North;2024-12-01 To 2024-12-07;71166;26249
North;2024-12-08 To 2024-12-14;55254;26249
North;2024-12-15 To 2024-12-21;55883;26249
North;2024-12-22 To 2024-12-28;36093;26249
North;2024-12-29 To 2025-01-04;39427;26249
North;2023-10-01 To 2023-10-07;217803;26256
North;2023-10-08 To 2023-10-14;199981;26256
North;2023-10-15 To 2023-10-21;212043;26256
North;2023-10-22 To 2023-10-28;203885;26256
North;2023-10-29 To 2023-11-04;184918;26256
North;2023-11-05 To 2023-11-11;182235;26256
North;2023-11-12 To 2023-11-18;177023;26256
North;2023-11-19 To 2023-11-25;171148;26256
North;2023-11-26 To 2023-12-02;164221;26256
North;2023-12-03 To 2023-12-09;181779;26256
North;2023-12-10 To 2023-12-16;181537;26256
North;2023-12-17 To 2023-12-23;171241;26256
North;2023-12-24 To 2023-12-30;227675;26256
North;2023-12-31 To 2024-01-06;197362;26256
North;2024-01-07 To 2024-01-13;235561;26256
North;2024-01-14 To 2024-01-20;210640;26256
North;2024-01-21 To 2024-01-27;221812;26256
North;2024-01-28 To 2024-02-03;173232;26256
North;2024-02-04 To 2024-02-10;182074;26256
North;2024-02-11 To 2024-02-17;209200;26256
North;2024-02-18 To 2024-02-24;202116;26256
North;2024-02-25 To 2024-03-02;190396;26256
North;2024-03-03 To 2024-03-09;165749;26256
North;2024-03-10 To 2024-03-16;171501;26256
North;2024-03-17 To 2024-03-23;146968;26256
North;2024-03-24 To 2024-03-30;186806;26256
North;2024-03-31 To 2024-04-06;184665;26256
North;2024-04-07 To 2024-04-13;194500;26256
North;2024-04-14 To 2024-04-20;178522;26256
North;2024-04-21 To 2024-04-27;155234;26256
North;2024-04-28 To 2024-05-04;181706;26256
North;2024-05-05 To 2024-05-11;156871;26256
North;2024-05-12 To 2024-05-18;197058;26256
North;2024-05-19 To 2024-05-25;210225;26256
North;2024-05-26 To 2024-06-01;212108;26256
North;2024-06-02 To 2024-06-08;211413;26256
North;2024-06-09 To 2024-06-15;210390;26256
North;2024-06-16 To 2024-06-22;235568;26256
North;2024-06-23 To 2024-06-29;275790;26256
North;2024-06-30 To 2024-07-06;230256;26256
North;2024-07-07 To 2024-07-13;215385;26256
North;2024-07-14 To 2024-07-20;192094;26256
North;2024-07-21 To 2024-07-27;183085;26256
North;2024-07-28 To 2024-08-03;177155;26256
North;2024-08-04 To 2024-08-10;179341;26256
North;2024-08-11 To 2024-08-17;177822;26256
North;2024-08-18 To 2024-08-24;192193;26256
North;2024-08-25 To 2024-08-31;181847;26256
North;2024-09-01 To 2024-09-07;179071;26256
North;2024-09-08 To 2024-09-14;161319;26256
North;2024-09-15 To 2024-09-21;181995;26256
North;2024-09-22 To 2024-09-28;192977;26256
North;2024-09-29 To 2024-10-05;176065;26256
North;2024-10-06 To 2024-10-12;207420;26256
North;2024-10-13 To 2024-10-19;189107;26256
North;2024-10-20 To 2024-10-26;189246;26256
North;2024-10-27 To 2024-11-02;178457;26256
North;2024-11-03 To 2024-11-09;165642;26256
North;2024-11-10 To 2024-11-16;195550;26256
North;2024-11-17 To 2024-11-23;178964;26256
North;2024-11-24 To 2024-11-30;164770;26256
North;2024-12-01 To 2024-12-07;251986;26256
North;2024-12-08 To 2024-12-14;194631;26256
North;2024-12-15 To 2024-12-21;227057;26256
North;2024-12-22 To 2024-12-28;244162;26256
North;2024-12-29 To 2025-01-04;207814;26256
North;2023-10-01 To 2023-10-07;95215;26268
North;2023-10-08 To 2023-10-14;86441;26268
North;2023-10-15 To 2023-10-21;77160;26268
North;2023-10-22 To 2023-10-28;82603;26268
North;2023-10-29 To 2023-11-04;127130;26268
North;2023-11-05 To 2023-11-11;130179;26268
North;2023-11-12 To 2023-11-18;117286;26268
North;2023-11-19 To 2023-11-25;120641;26268
North;2023-11-26 To 2023-12-02;115896;26268
North;2023-12-03 To 2023-12-09;122682;26268
North;2023-12-10 To 2023-12-16;113927;26268
