Region;Week;Visits;shop_id
Oost;2024-02-25 To 2024-03-02;71.711;;
Oost;2024-03-03 To 2024-03-09;72.017;;
Oost;2024-03-10 To 2024-03-16;72.987;;
Oost;2024-03-17 To 2024-03-23;65.894;;
Oost;2024-03-24 To 2024-03-30;80.759;;
Oost;2024-03-31 To 2024-04-06;82.776;;
Oost;2024-04-07 To 2024-04-13;79.809;;
Oost;2024-04-14 To 2024-04-20;76.958;;
Oost;2024-04-21 To 2024-04-27;64.679;;
Oost;2024-04-28 To 2024-05-04;70.678;;
Oost;2024-05-05 To 2024-05-11;71.786;;
Oost;2024-05-12 To 2024-05-18;72.511;;
Oost;2024-05-19 To 2024-05-25;79.518;;
Oost;2024-05-26 To 2024-06-01;79.084;;
Oost;2024-06-02 To 2024-06-08;76.832;;
Oost;2024-06-09 To 2024-06-15;75.673;;
Oost;2024-06-16 To 2024-06-22;88.505;;
Oost;2024-06-23 To 2024-06-29;85.762;;
Oost;2024-06-30 To 2024-07-06;80.877;;
Oost;2024-07-07 To 2024-07-13;78.781;;
Oost;2024-07-14 To 2024-07-20;72.376;;
Oost;2024-07-21 To 2024-07-27;75.489;;
Oost;2024-07-28 To 2024-08-03;73.236;;
Oost;2024-08-04 To 2024-08-10;70.353;;
Oost;2024-08-11 To 2024-08-17;70.001;;
Oost;2024-08-18 To 2024-08-24;66.934;;
Oost;2024-08-25 To 2024-08-31;73.629;;
Oost;2024-09-01 To 2024-09-07;66.577;;
Oost;2024-09-08 To 2024-09-14;76.037;;
Oost;2024-09-15 To 2024-09-21;79.173;;
Oost;2024-09-22 To 2024-09-28;73.614;;
Oost;2024-09-29 To 2024-10-05;75.932;;
Oost;2024-10-06 To 2024-10-12;78.466;;
Oost;2024-10-13 To 2024-10-19;68.962;;
Oost;2024-10-20 To 2024-10-26;69.579;;
Oost;2024-10-27 To 2024-11-02;65.256;;
Oost;2024-11-03 To 2024-11-09;79.551;;
Oost;2024-11-10 To 2024-11-16;74.269;;
Oost;2024-11-17 To 2024-11-23;78.79;;
Oost;2024-11-24 To 2024-11-30;68.459;;
Oost;2024-12-01 To 2024-12-07;75.121;;
Oost;2024-12-08 To 2024-12-14;80.664;;
Oost;2024-12-15 To 2024-12-21;82.021;;
Oost;2024-12-22 To 2024-12-28;80.333;;
Oost;2024-12-29 To 2025-01-04;78.249;;
Oost;2025-01-05 To 2025-01-11;71.05;;
Oost;2025-01-12 To 2025-01-18;73.167;;
Oost;2025-01-19 To 2025-01-25;77.038;;
Oost;2025-01-26 To 2025-02-01;72.904;;
Oost;2025-02-02 To 2025-02-08;71.998;;
Oost;2025-02-09 To 2025-02-15;72.286;;
Oost;2025-02-16 To 2025-02-22;86.881;;
Oost;2025-02-23 To 2025-03-01;80.91;;
Oost;2025-03-02 To 2025-03-08;72.055;;
Oost;2025-03-09 To 2025-03-15;69.57;;
Oost;2025-03-16 To 2025-03-22;66.782;;
Oost;2025-03-23 To 2025-03-29;70.337;;
Oost;2025-03-30 To 2025-04-05;76.273;;
Oost;2025-04-06 To 2025-04-12;68.099;;
Oost;2025-04-13 To 2025-04-19;83.213;;
Oost;2025-04-20 To 2025-04-26;72.31;;
Oost;2025-04-27 To 2025-05-03;68.322;;
Oost;2025-05-04 To 2025-05-10;83.247;;
Oost;2025-05-11 To 2025-05-17;84.267;;
Oost;2025-05-18 To 2025-05-24;85.474;;
Oost;2025-05-25 To 2025-05-31;105.126;;
Oost;2025-06-01 To 2025-06-07;96.472;;
Oost;2025-06-08 To 2025-06-14;97.442;;
Oost;2025-06-15 To 2025-06-21;94.729;;
Oost;2025-06-22 To 2025-06-28;85.844;;
Oost;2025-06-29 To 2025-07-05;83.301;;
Oost;2025-07-06 To 2025-07-12;104.547;;
Oost;2025-07-13 To 2025-07-19;106.864;;
Oost;2025-07-20 To 2025-07-26;115.86;;
Oost;2025-07-27 To 2025-08-02;109.823;;
Oost;2025-08-03 To 2025-08-09;97.995;;
Oost;2025-08-10 To 2025-08-16;96.976;;
Oost;2025-08-17 To 2025-08-23;93.297;;
Oost;2025-08-24 To 2025-08-30;78.245;;
Oost;2025-08-31 To 2025-09-06;78.038;;
Oost;2025-09-07 To 2025-09-13;96.394;;
Oost;2025-09-14 To 2025-09-20;88.589;;
Oost;2025-09-21 To 2025-09-27;127.255;;
Oost;2025-09-28 To 2025-10-04;112.375;;
Oost;2025-10-05 To 2025-10-11;104.722;;
Oost;2025-10-12 To 2025-10-18;84.002;;
Oost;2025-10-19 To 2025-10-25;106.042;;
Oost;2025-10-26 To 2025-11-01;98.998;;
Oost;2025-11-02 To 2025-11-08;116.174;;
Oost;2025-11-09 To 2025-11-15;106.743;;
Oost;2025-11-16 To 2025-11-22;89.106;;
Zuid;2023-12-31 To 2024-01-06;113.478;;
Zuid;2024-01-07 To 2024-01-13;111.424;;
Zuid;2024-01-14 To 2024-01-20;107.868;;
Zuid;2024-01-21 To 2024-01-27;112.487;;
Zuid;2024-01-28 To 2024-02-03;122.777;;
Zuid;2024-02-04 To 2024-02-10;114.86;;
Zuid;2024-02-11 To 2024-02-17;119.332;;
Zuid;2024-02-18 To 2024-02-24;126.187;;
Zuid;2024-02-25 To 2024-03-02;110.48;;
Zuid;2024-03-03 To 2024-03-09;103.987;;
Zuid;2024-03-10 To 2024-03-16;98.193;;
Zuid;2024-03-17 To 2024-03-23;110.124;;
Zuid;2024-03-24 To 2024-03-30;133.931;;
Zuid;2024-03-31 To 2024-04-06;127.534;;
Zuid;2024-04-07 To 2024-04-13;132.632;;
Zuid;2024-04-14 To 2024-04-20;106.416;;
Zuid;2024-04-21 To 2024-04-27;85.223;;
Zuid;2024-04-28 To 2024-05-04;86.954;;
Zuid;2024-05-05 To 2024-05-11;98.76;;
Zuid;2024-05-12 To 2024-05-18;105.206;;
Zuid;2024-05-19 To 2024-05-25;125.579;;
Zuid;2024-05-26 To 2024-06-01;136.499;;
Zuid;2024-06-02 To 2024-06-08;129.856;;
Zuid;2024-06-09 To 2024-06-15;127.1;;
Zuid;2024-06-16 To 2024-06-22;131.335;;
Zuid;2024-06-23 To 2024-06-29;126.386;;
Zuid;2024-06-30 To 2024-07-06;125.463;;
Zuid;2024-07-07 To 2024-07-13;120.981;;
Zuid;2024-07-14 To 2024-07-20;114.548;;
Zuid;2024-07-21 To 2024-07-27;128.344;;
Zuid;2024-07-28 To 2024-08-03;123.768;;
Zuid;2024-08-04 To 2024-08-10;107.688;;
Zuid;2024-08-11 To 2024-08-17;110.654;;
Zuid;2024-08-18 To 2024-08-24;109.831;;
Zuid;2024-08-25 To 2024-08-31;112.929;;
Zuid;2024-09-01 To 2024-09-07;113.057;;
Zuid;2024-09-08 To 2024-09-14;119.022;;
Zuid;2024-09-15 To 2024-09-21;109.218;;
Zuid;2024-09-22 To 2024-09-28;119.645;;
Zuid;2024-09-29 To 2024-10-05;111.015;;
Zuid;2024-10-06 To 2024-10-12;102.568;;
Zuid;2024-10-13 To 2024-10-19;101.515;;
Zuid;2024-10-20 To 2024-10-26;104.555;;
